,generalElectionVote,Vote
11345,Brexit Party,Brexit Party
11346,Conservative,Conservative
11347,Labour,Labour
11348,Brexit Party,Brexit Party
11349,Labour,Labour
11350,Conservative,Conservative
11351,Labour,Labour
11352,Conservative,Conservative
11353,Liberal Democrat,Liberal Democrat
11354,Labour,Labour
11355,Conservative,Conservative
11356,Labour,Labour
11357,Brexit Party,Brexit Party
11358,Conservative,Conservative
11359,Conservative,Conservative
11360,Labour,Labour
11361,Conservative,Conservative
11362,Conservative,Conservative
11363,Conservative,Conservative
11364,Conservative,Conservative
11365,Labour,Labour
11366,Labour,Labour
11367,Conservative,Conservative
11368,Conservative,Conservative
11369,Labour,Labour
11370,Conservative,Conservative
11371,Conservative,Conservative
11372,Conservative,Conservative
11373,Conservative,Conservative
11374,Conservative,Conservative
11375,Conservative,Conservative
11376,Conservative,Conservative
11377,Liberal Democrat,Liberal Democrat
11378,Conservative,Conservative
11379,Conservative,Conservative
11380,Conservative,Conservative
11381,Liberal Democrat,Liberal Democrat
11382,Brexit Party,Brexit Party
11383,Conservative,Conservative
11384,Labour,Labour
11385,Conservative,Conservative
11386,Liberal Democrat,Liberal Democrat
11387,Labour,Labour
11388,Conservative,Conservative
11389,Brexit Party,Brexit Party
11390,Labour,Labour
11391,Liberal Democrat,Liberal Democrat
11392,Conservative,Conservative
11393,Conservative,Conservative
11394,Conservative,Conservative
11395,Liberal Democrat,Liberal Democrat
11396,Liberal Democrat,Liberal Democrat
11397,Conservative,Conservative
11398,Labour,Labour
11399,Conservative,Conservative
11400,Conservative,Conservative
11401,Conservative,Conservative
11402,Labour,Labour
11403,Conservative,Conservative
11404,Conservative,Conservative
11405,Conservative,Conservative
11406,Conservative,Conservative
11407,Green Party,Green Party
11408,Green Party,Green Party
11409,Conservative,Conservative
11410,Conservative,Conservative
11411,Conservative,Conservative
11412,Liberal Democrat,Liberal Democrat
11413,Liberal Democrat,Liberal Democrat
11414,Conservative,Conservative
11415,Conservative,Conservative
11416,Conservative,Conservative
11417,Liberal Democrat,Liberal Democrat
11418,Liberal Democrat,Liberal Democrat
11419,Conservative,Conservative
11420,Brexit Party,Brexit Party
11421,Liberal Democrat,Liberal Democrat
11422,Labour,Labour
11423,Liberal Democrat,Liberal Democrat
11424,Liberal Democrat,Liberal Democrat
11425,Labour,Labour
11426,Conservative,Conservative
11427,Liberal Democrat,Liberal Democrat
11428,Conservative,Conservative
11429,Conservative,Conservative
11430,Conservative,Conservative
11431,Liberal Democrat,Liberal Democrat
11432,Conservative,Conservative
11433,Conservative,Conservative
11434,Liberal Democrat,Liberal Democrat
11435,Liberal Democrat,Liberal Democrat
11436,Conservative,Conservative
11437,Conservative,Conservative
11438,Labour,Labour
11439,Labour,Labour
11440,Labour,Labour
11441,Labour,Labour
11442,Conservative,Conservative
11443,Labour,Labour
11444,Conservative,Conservative
11445,Liberal Democrat,Liberal Democrat
11446,Labour,Labour
11447,Conservative,Conservative
11448,Conservative,Conservative
11449,Labour,Labour
11450,Liberal Democrat,Liberal Democrat
11451,Labour,Labour
11452,Labour,Labour
11453,Green Party,Green Party
11454,Liberal Democrat,Liberal Democrat
11455,Conservative,Conservative
11456,Liberal Democrat,Liberal Democrat
11457,Labour,Labour
11458,Labour,Labour
11459,Labour,Labour
11460,Labour,Labour
11461,Labour,Labour
11462,Labour,Labour
11463,Labour,Labour
11464,Brexit Party,Brexit Party
11465,Conservative,Conservative
11466,Conservative,Conservative
11467,Labour,Labour
11468,Labour,Labour
11469,Conservative,Conservative
11470,Labour,Labour
11471,Green Party,Green Party
11472,Green Party,Green Party
11473,Labour,Labour
11474,Liberal Democrat,Liberal Democrat
11475,Labour,Labour
11476,Conservative,Conservative
11477,Conservative,Conservative
11478,Conservative,Conservative
11479,Conservative,Conservative
11480,Conservative,Conservative
11481,Liberal Democrat,Liberal Democrat
11482,Conservative,Conservative
11483,Labour,Labour
11484,Labour,Labour
11485,Conservative,Conservative
11486,Conservative,Conservative
11487,Green Party,Green Party
11488,Conservative,Conservative
11489,Liberal Democrat,Liberal Democrat
11490,Green Party,Green Party
11491,Labour,Labour
11492,Labour,Labour
11493,Conservative,Conservative
11494,Labour,Labour
11495,Conservative,Conservative
11496,Labour,Labour
11497,Conservative,Conservative
11498,Conservative,Conservative
11499,Green Party,Green Party
11500,Labour,Labour
11501,Labour,Labour
11502,Conservative,Conservative
11503,Liberal Democrat,Liberal Democrat
11504,Conservative,Conservative
11505,Conservative,Conservative
11506,Brexit Party,Brexit Party
11507,Labour,Labour
11508,Liberal Democrat,Liberal Democrat
11509,Conservative,Conservative
11510,Conservative,Conservative
11511,Labour,Labour
11512,Conservative,Conservative
11513,Conservative,Conservative
11514,Liberal Democrat,Liberal Democrat
11515,Conservative,Conservative
11516,Labour,Labour
11517,Conservative,Conservative
11518,Conservative,Conservative
11519,Brexit Party,Brexit Party
11520,Labour,Labour
11521,Conservative,Conservative
11522,Green Party,Green Party
11523,Brexit Party,Brexit Party
11524,Liberal Democrat,Liberal Democrat
11525,Conservative,Conservative
11526,Conservative,Conservative
11527,Conservative,Conservative
11528,Labour,Labour
11529,Liberal Democrat,Liberal Democrat
11530,Conservative,Conservative
11531,Liberal Democrat,Liberal Democrat
11532,Labour,Labour
11533,Conservative,Conservative
11534,Conservative,Conservative
11535,Conservative,Conservative
11536,Brexit Party,Brexit Party
11537,Liberal Democrat,Liberal Democrat
11538,Conservative,Conservative
11539,Labour,Labour
11540,Brexit Party,Brexit Party
11541,Liberal Democrat,Liberal Democrat
11542,Conservative,Conservative
11543,Conservative,Conservative
11544,Labour,Labour
11545,Brexit Party,Brexit Party
11546,Conservative,Conservative
11547,Liberal Democrat,Liberal Democrat
11548,Conservative,Conservative
11549,Liberal Democrat,Liberal Democrat
11550,Conservative,Conservative
11551,Liberal Democrat,Liberal Democrat
11552,Conservative,Conservative
11553,Liberal Democrat,Liberal Democrat
11554,Conservative,Conservative
11555,Labour,Labour
11556,Conservative,Conservative
11557,Labour,Labour
11558,Conservative,Conservative
11559,Liberal Democrat,Liberal Democrat
11560,Conservative,Conservative
11561,Labour,Labour
11562,Conservative,Conservative
11563,Green Party,Green Party
11564,Conservative,Conservative
11565,Liberal Democrat,Liberal Democrat
11566,Labour,Labour
11567,Conservative,Conservative
11568,Conservative,Conservative
11569,Conservative,Conservative
11570,Brexit Party,Brexit Party
11571,Conservative,Conservative
11572,Conservative,Conservative
11573,Conservative,Conservative
11574,Conservative,Conservative
11575,Liberal Democrat,Liberal Democrat
11576,Brexit Party,Brexit Party
11577,Labour,Labour
11578,Conservative,Conservative
11579,Conservative,Conservative
11580,Brexit Party,Brexit Party
11581,Labour,Labour
11582,Labour,Labour
11583,Conservative,Conservative
11584,Liberal Democrat,Liberal Democrat
11585,Conservative,Conservative
11586,Conservative,Conservative
11587,Conservative,Conservative
11588,Brexit Party,Brexit Party
11589,Labour,Labour
11590,Labour,Labour
11591,Brexit Party,Brexit Party
11592,Liberal Democrat,Liberal Democrat
11593,Conservative,Conservative
11594,Liberal Democrat,Liberal Democrat
11595,Labour,Labour
11596,Labour,Labour
11597,Conservative,Conservative
11598,Conservative,Conservative
11599,Conservative,Conservative
11600,Conservative,Conservative
11601,Liberal Democrat,Liberal Democrat
11602,Conservative,Conservative
11603,Conservative,Conservative
11604,Conservative,Conservative
11605,Conservative,Conservative
11606,Conservative,Conservative
11607,Conservative,Conservative
11608,Brexit Party,Brexit Party
11609,Conservative,Conservative
11610,Brexit Party,Brexit Party
11611,Conservative,Conservative
11612,Conservative,Conservative
11613,Labour,Labour
11614,Brexit Party,Brexit Party
11615,Conservative,Conservative
11616,Liberal Democrat,Liberal Democrat
11617,Labour,Labour
11618,Liberal Democrat,Liberal Democrat
11619,Labour,Labour
11620,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
11621,Labour,Labour
11622,Labour,Labour
11623,Conservative,Conservative
11624,Conservative,Conservative
11625,Conservative,Conservative
11626,Conservative,Conservative
11627,Brexit Party,Brexit Party
11628,Liberal Democrat,Liberal Democrat
11629,Liberal Democrat,Liberal Democrat
11630,Liberal Democrat,Liberal Democrat
11631,Labour,Labour
11632,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
11633,Conservative,Conservative
11634,Brexit Party,Brexit Party
11635,Liberal Democrat,Liberal Democrat
11636,Conservative,Conservative
11637,Labour,Labour
11638,Liberal Democrat,Liberal Democrat
11639,Liberal Democrat,Liberal Democrat
11640,Green Party,Green Party
11641,Brexit Party,Brexit Party
11642,Conservative,Conservative
11643,Liberal Democrat,Liberal Democrat
11644,Liberal Democrat,Liberal Democrat
11645,Conservative,Conservative
11646,Liberal Democrat,Liberal Democrat
11647,Labour,Labour
11648,Liberal Democrat,Liberal Democrat
11649,Conservative,Conservative
11650,Conservative,Conservative
11651,Liberal Democrat,Liberal Democrat
11652,Conservative,Conservative
11653,Conservative,Conservative
11654,Liberal Democrat,Liberal Democrat
11655,Conservative,Conservative
11656,Liberal Democrat,Liberal Democrat
11657,Liberal Democrat,Liberal Democrat
11658,Conservative,Conservative
11659,Conservative,Conservative
11660,Liberal Democrat,Liberal Democrat
11661,Conservative,Conservative
11662,Conservative,Conservative
11663,Liberal Democrat,Liberal Democrat
11664,Liberal Democrat,Liberal Democrat
11665,Liberal Democrat,Liberal Democrat
11666,Liberal Democrat,Liberal Democrat
11667,Conservative,Conservative
11668,Conservative,Conservative
11669,Conservative,Conservative
11670,Brexit Party,Brexit Party
11671,Brexit Party,Brexit Party
11672,Liberal Democrat,Liberal Democrat
11673,Conservative,Conservative
11674,Conservative,Conservative
11675,Conservative,Conservative
11676,Conservative,Conservative
11677,Conservative,Conservative
11678,Conservative,Conservative
11679,Liberal Democrat,Liberal Democrat
11680,Liberal Democrat,Liberal Democrat
11681,Conservative,Conservative
11682,Conservative,Conservative
11683,Conservative,Conservative
11684,Liberal Democrat,Liberal Democrat
11685,Conservative,Conservative
11686,Green Party,Green Party
11687,Liberal Democrat,Liberal Democrat
11688,Conservative,Conservative
11689,Conservative,Conservative
11690,Conservative,Conservative
11691,Conservative,Conservative
11692,Liberal Democrat,Liberal Democrat
11693,Conservative,Conservative
11694,Conservative,Conservative
11695,Liberal Democrat,Liberal Democrat
11696,Labour,Labour
11697,Liberal Democrat,Liberal Democrat
11698,Liberal Democrat,Liberal Democrat
11699,Labour,Labour
11700,Conservative,Conservative
11701,Liberal Democrat,Liberal Democrat
11702,Conservative,Conservative
11703,Liberal Democrat,Liberal Democrat
11704,Liberal Democrat,Liberal Democrat
11705,Labour,Labour
11706,Green Party,Green Party
11707,Liberal Democrat,Liberal Democrat
11708,Liberal Democrat,Liberal Democrat
11709,Liberal Democrat,Liberal Democrat
11710,Liberal Democrat,Liberal Democrat
11711,Conservative,Conservative
11712,Brexit Party,Brexit Party
11713,Conservative,Conservative
11714,Labour,Labour
11715,Conservative,Conservative
11716,Conservative,Conservative
11717,Liberal Democrat,Liberal Democrat
11718,Conservative,Conservative
11719,Liberal Democrat,Liberal Democrat
11720,Conservative,Conservative
11721,Conservative,Conservative
11722,Conservative,Conservative
11723,Liberal Democrat,Liberal Democrat
11724,Liberal Democrat,Liberal Democrat
11725,Liberal Democrat,Liberal Democrat
11726,Liberal Democrat,Liberal Democrat
11727,Green Party,Green Party
11728,Conservative,Conservative
11729,Conservative,Conservative
11730,Conservative,Conservative
11731,Conservative,Conservative
11732,Conservative,Conservative
11733,Conservative,Conservative
11734,Brexit Party,Brexit Party
11735,Conservative,Conservative
11736,Liberal Democrat,Liberal Democrat
11737,Liberal Democrat,Liberal Democrat
11738,Liberal Democrat,Liberal Democrat
11739,Liberal Democrat,Liberal Democrat
11740,Liberal Democrat,Liberal Democrat
11741,Conservative,Conservative
11742,Liberal Democrat,Liberal Democrat
11743,Brexit Party,Brexit Party
11744,Conservative,Conservative
11745,Labour,Labour
11746,Green Party,Green Party
11747,Brexit Party,Brexit Party
11748,Liberal Democrat,Liberal Democrat
11749,Conservative,Conservative
11750,Conservative,Conservative
11751,Liberal Democrat,Liberal Democrat
11752,Liberal Democrat,Liberal Democrat
11753,Conservative,Conservative
11754,Liberal Democrat,Liberal Democrat
11755,Labour,Labour
11756,Conservative,Conservative
11757,Conservative,Conservative
11758,Conservative,Conservative
11759,Conservative,Conservative
11760,Brexit Party,Brexit Party
11761,Brexit Party,Brexit Party
11762,Conservative,Conservative
11763,Labour,Labour
11764,Conservative,Conservative
11765,Liberal Democrat,Liberal Democrat
11766,Conservative,Conservative
11767,Labour,Labour
11768,Conservative,Conservative
11769,Labour,Labour
11770,Labour,Labour
11771,Labour,Labour
11772,Labour,Labour
11773,Labour,Labour
11774,Conservative,Conservative
11775,Green Party,Green Party
11776,Conservative,Conservative
11777,Liberal Democrat,Liberal Democrat
11778,Conservative,Conservative
11779,Labour,Labour
11780,Liberal Democrat,Liberal Democrat
11781,Labour,Labour
11782,Brexit Party,Brexit Party
11783,Conservative,Conservative
11784,Liberal Democrat,Liberal Democrat
11785,Liberal Democrat,Liberal Democrat
11786,Conservative,Conservative
11787,Labour,Labour
11788,Labour,Labour
11789,Labour,Labour
11790,Conservative,Conservative
11791,Conservative,Conservative
11792,Labour,Labour
11793,Green Party,Green Party
11794,Labour,Labour
11795,Liberal Democrat,Liberal Democrat
11796,Labour,Labour
11797,Labour,Labour
11798,Labour,Labour
11799,Brexit Party,Brexit Party
11800,Labour,Labour
11801,Labour,Labour
11802,Conservative,Conservative
11803,Brexit Party,Brexit Party
11804,Labour,Labour
11805,Green Party,Green Party
11806,Conservative,Conservative
11807,Conservative,Conservative
11808,Liberal Democrat,Liberal Democrat
11809,Labour,Labour
11810,Liberal Democrat,Liberal Democrat
11811,Labour,Labour
11812,Brexit Party,Brexit Party
11813,Liberal Democrat,Liberal Democrat
11814,Conservative,Conservative
11815,Conservative,Conservative
11816,Conservative,Conservative
11817,Conservative,Conservative
11818,Green Party,Green Party
11819,Conservative,Conservative
11820,Conservative,Conservative
11821,Liberal Democrat,Liberal Democrat
11822,Labour,Labour
11823,Conservative,Conservative
11824,Conservative,Conservative
11825,Brexit Party,Brexit Party
11826,Labour,Labour
11827,Conservative,Conservative
11828,Labour,Labour
11829,Conservative,Conservative
11830,Conservative,Conservative
11831,Liberal Democrat,Liberal Democrat
11832,Conservative,Conservative
